Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode
ADOSEB 100ml,SYRUP,,,Phl,30,Adora Laboratories,,,12,NA,0,Inclusive,30,422,
ADOSEB 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,18,NA,0,Inclusive,40,919,
ADOSEB 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,28,NA,0,Inclusive,90,917,
ADOSEB PLUS 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,28,NA,0,Inclusive,85,545,
ADOSEB PLUS 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,40,NA,0,Inclusive,150,645,
ADOJIN 200ML,SYRUP,,,Phl,30,Adora Laboratories,,,0,NA,0,Inclusive,0,84,
ADOJIN 450ML,SYRUP,,,Phl,30,Adora Laboratories,,,0,NA,0,Inclusive,0,211,
ADOJIN PLUS 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,30,NA,0,Inclusive,100,206,
ADOJIN PLUS 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,45,NA,0,Inclusive,200,375,
ADOJAZ 100ml,SYRUP,,,Phl,30,Adora Laboratories,,,14,NA,0,Inclusive,35,2471,
ADOJAZ 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,18,NA,0,Inclusive,50,362,
ADOLIV 100ml,SYRUP,,,Phl,30,Adora Laboratories,,,12,NA,0,Inclusive,30,280,
ADOLIV 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,18,NA,0,Inclusive,40,1036,
ADOLIV 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,26,NA,0,Inclusive,75,892,
ADOKHA 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,30,NA,0,Inclusive,60,1067,
BUZURI 100ml,SYRUP,,,Phl,30,Adora Laboratories,,,12,NA,0,Inclusive,30,36,
BUZURI 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,18,NA,0,Inclusive,40,753,
BUZURI 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,26,NA,0,Inclusive,75,549,
ADOVIT 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,25,NA,0,Inclusive,70,727,
ADOVIT 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,40,NA,0,Inclusive,125,1306,
ADONISA 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,18,NA,0,Inclusive,50,994,
ADONISA 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,28,NA,0,Inclusive,80,412,
ADOZIM 100ml,SYRUP,,,Phl,30,Adora Laboratories,,,12,NA,0,Inclusive,30,726,
ADOZIM 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,18,NA,0,Inclusive,40,1444,
ADOZIM 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,26,NA,0,Inclusive,75,505,
ADOSAFI 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,18,NA,0,Inclusive,50,786,
ADOSAFI 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,26,NA,0,Inclusive,80,453,
ADOMINA 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,30,NA,0,Inclusive,125,0,
ADOMINA 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,45,NA,0,Inclusive,225,257,
ADOTON 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,25,NA,0,Inclusive,100,1074,
ADOTON 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,45,NA,0,Inclusive,180,1178,
ADOGREEN 200ml,SYRUP,,,Phl,30,Adora Laboratories,,,20,NA,0,Inclusive,80,358,
ADOGREEN 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,40,NA,0,Inclusive,150,924,
ADO VASAC 100ml,SYRUP,,,Phl,30,Adora Laboratories,,,13,NA,0,Inclusive,30,2249,
Doraplex 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,33,NA,0,Inclusive,100,1183,
Adomev 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,33,NA,0,Inclusive,100,1310,
Adodim 450ml,SYRUP,,,Phl,30,Adora Laboratories,,,33,NA,0,Inclusive,100,841,
SATIMULUS (10 X 10),CAPSULE,,,Box,30,Adora Laboratories,,,120,NA,0,Inclusive,750,34,
ADOBAR (10 X 2),CAPSULE,,,Box,30,Adora Laboratories,,,100,NA,0,Inclusive,600,179,
ADOREED (10 X 5),CAPSULE,,,Box,30,Adora Laboratories,,,80,NA,0,Inclusive,200,117,
ADOFA (10 X 5),CAPSULE,,,Box,30,Adora Laboratories,,,60,NA,0,Inclusive,150,0,
ADOJAN (10 X 5),CAPSULE,,,Box,30,Adora Laboratories,,,80,NA,0,Inclusive,200,475,
ADOMUNISH (10 X 10),CAPSULE,,,Box,30,Adora Laboratories,,,120,NA,0,Inclusive,600,128,
ADOCARE (10 X 5),CAPSULE,,,Box,30,Adora Laboratories,,,80,NA,0,Inclusive,200,198,
ADORIX (10 X 5),CAPSULE,,,Box,30,Adora Laboratories,,,80,NA,0,Inclusive,200,0,
ADOPULS (10 X 2),CAPSULE,,,Box,30,Adora Laboratories,,,70,NA,0,Inclusive,500,649,
TINKAR (10 X 10),CAPSULE,,,Box,30,Adora Laboratories,,,65,NA,0,Inclusive,70,546,
ADOSPIRULINA 30s,CAPSULE,,,Box,30,Adora Laboratories,,,50,NA,0,Inclusive,80,0,
ADOCHIRATA 30s,CAPSULE,,,Box,30,Adora Laboratories,,,35,NA,0,Inclusive,130,334,
ADOZIL (10 X 3),CAPSULE,,,Box,30,Adora Laboratories,,,50,NA,0,Inclusive,150,100,
NISHAT (10 X 10),CAPSULE,,,Box,30,Adora Laboratories,,,110,NA,0,Inclusive,130,596,
Adoginseng 30s,CAPSULE,,,Box,30,Adora Laboratories,,,0,NA,0,Inclusive,0,0,
ADODIR 20s,TABLET,,,Phot,30,Adora Laboratories,,,40,NA,0,Inclusive,120,342,
ADOQIL 30s,TABLET,,,Phot,30,Adora Laboratories,,,60,NA,0,Inclusive,200,379,
ADO-ZED 15s,TABLET,,,Phot,30,Adora Laboratories,,,20,NA,0,Inclusive,70,174,
ADO-ZED 30s,TABLET,,,Phot,30,Adora Laboratories,,,40,NA,0,Inclusive,140,296,
MURAZIN 30s,TABLET,,,Phot,30,Adora Laboratories,,,35,NA,0,Inclusive,95,0,
SADACOL 30s,TABLET,,,Phot,30,Adora Laboratories,,,35,NA,0,Inclusive,45,0,
ADOCAL 15s,TABLET,,,Phot,30,Adora Laboratories,,,20,NA,0,Inclusive,60,323,
ADOCAL 30s,TABLET,,,Phot,30,Adora Laboratories,,,35,NA,0,Inclusive,100,588,
ADOMADAR 30s,TABLET,,,Phot,30,Adora Laboratories,,,60,NA,0,Inclusive,140,352,
DIASTER 30s,TABLET,,,Phot,30,Adora Laboratories,,,70,NA,0,Inclusive,160,218,
AD-TAC (10 X 10),TABLET,,,Phot,30,Adora Laboratories,,,40,NA,0,Inclusive,125,482,
Adolex 30s,TABLET,,,Phot,30,Adora Laboratories,,,35,NA,0,Inclusive,100,221,
Doracal 30s,TABLET,,,Phot,30,Adora Laboratories,,,35,NA,0,Inclusive,85,38,
CHISTA (10 X 3),TABLET,,,Phot,30,Adora Laboratories,,,35,NA,0,Inclusive,44,292,
ADOGOLD 250gm,"SEMI SOLIDS
",,,Phl,30,Adora Laboratories,,,75,NA,0,Inclusive,200,745,
ADONIX 250gm,SEMI SOLIDS,,,Phl,30,Adora Laboratories,,,60,NA,0,Inclusive,120,0,
ADOMUSHKI 10ml,OIL,,,Phl,30,Adora Laboratories,,,60,NA,0,Inclusive,200,200,
ADOAMLA 200ml,OIL,,,Phl,30,Adora Laboratories,,,75,NA,0,Inclusive,160,118,
